Event_ID,Node,Timestamp(in microsec)
1,10.0.0.12,0
1,10.0.0.11,0
2,10.0.0.11,5
2,10.0.0.12,0
3,10.0.0.12,0
3,10.0.0.11,10
4,10.0.0.12,0
4,10.0.0.11,14
5,10.0.0.12,0
5,10.0.0.11,19
6,10.0.0.12,0
6,10.0.0.11,24
7,10.0.0.12,0
7,10.0.0.11,29
8,10.0.0.12,0
8,10.0.0.11,34
9,10.0.0.12,0
9,10.0.0.11,39
10,10.0.0.12,0
10,10.0.0.11,43
11,10.0.0.12,0
11,10.0.0.11,48
12,10.0.0.12,0
12,10.0.0.11,53
13,10.0.0.11,58
13,10.0.0.12,0
14,10.0.0.12,0
14,10.0.0.11,63
15,10.0.0.12,0
15,10.0.0.11,67
16,10.0.0.11,72
16,10.0.0.12,0
17,10.0.0.12,0
17,10.0.0.11,77
18,10.0.0.12,0
18,10.0.0.11,82
19,10.0.0.12,0
19,10.0.0.11,87
20,10.0.0.12,0
20,10.0.0.11,91
21,10.0.0.12,0
21,10.0.0.11,96
22,10.0.0.12,0
22,10.0.0.11,101
23,10.0.0.12,0
23,10.0.0.11,106
24,10.0.0.12,0
24,10.0.0.11,110
25,10.0.0.12,0
25,10.0.0.11,115
26,10.0.0.12,0
26,10.0.0.11,120
27,10.0.0.12,0
27,10.0.0.11,125
28,10.0.0.12,0
28,10.0.0.11,130
29,10.0.0.12,0
29,10.0.0.11,134
30,10.0.0.12,0
30,10.0.0.11,139
31,10.0.0.12,0
31,10.0.0.11,144
32,10.0.0.12,0
32,10.0.0.11,148
33,10.0.0.12,0
33,10.0.0.11,153
34,10.0.0.12,0
34,10.0.0.11,158
35,10.0.0.12,0
35,10.0.0.11,163
36,10.0.0.12,0
36,10.0.0.11,167
37,10.0.0.12,0
37,10.0.0.11,172
38,10.0.0.12,0
38,10.0.0.11,177
39,10.0.0.12,0
39,10.0.0.11,182
40,10.0.0.12,0
40,10.0.0.11,186
41,10.0.0.12,0
41,10.0.0.11,191
42,10.0.0.12,0
42,10.0.0.11,196
43,10.0.0.12,0
43,10.0.0.11,200
44,10.0.0.12,0
44,10.0.0.11,205
45,10.0.0.12,0
45,10.0.0.11,210
46,10.0.0.12,0
46,10.0.0.11,215
47,10.0.0.12,0
47,10.0.0.11,219
48,10.0.0.12,0
48,10.0.0.11,224
49,10.0.0.12,0
49,10.0.0.11,229
50,10.0.0.12,0
50,10.0.0.11,233
51,10.0.0.12,0
51,10.0.0.11,238
52,10.0.0.12,0
52,10.0.0.11,243
53,10.0.0.12,0
53,10.0.0.11,247
54,10.0.0.12,0
54,10.0.0.11,252
55,10.0.0.12,0
55,10.0.0.11,257
56,10.0.0.12,0
56,10.0.0.11,261
57,10.0.0.12,0
57,10.0.0.11,266
58,10.0.0.12,0
58,10.0.0.11,271
59,10.0.0.12,0
59,10.0.0.11,275
60,10.0.0.12,0
60,10.0.0.11,280
61,10.0.0.12,0
61,10.0.0.11,285
62,10.0.0.12,0
62,10.0.0.11,289
63,10.0.0.12,0
63,10.0.0.11,294
64,10.0.0.12,0
64,10.0.0.11,299
65,10.0.0.12,0
65,10.0.0.11,303
66,10.0.0.12,0
66,10.0.0.11,308
67,10.0.0.12,0
67,10.0.0.11,313
68,10.0.0.12,0
68,10.0.0.11,317
69,10.0.0.12,0
69,10.0.0.11,322
70,10.0.0.12,0
70,10.0.0.11,326
71,10.0.0.12,0
71,10.0.0.11,331
72,10.0.0.12,0
72,10.0.0.11,335
73,10.0.0.12,0
73,10.0.0.11,340
74,10.0.0.12,0
74,10.0.0.11,345
75,10.0.0.12,0
75,10.0.0.11,349
76,10.0.0.12,0
76,10.0.0.11,354
77,10.0.0.12,0
77,10.0.0.11,358
78,10.0.0.12,0
78,10.0.0.11,363
79,10.0.0.12,0
79,10.0.0.11,367
80,10.0.0.12,0
80,10.0.0.11,372
81,10.0.0.12,0
81,10.0.0.11,376
82,10.0.0.12,0
82,10.0.0.11,381
83,10.0.0.12,0
83,10.0.0.11,386
84,10.0.0.12,0
84,10.0.0.11,390
85,10.0.0.12,0
85,10.0.0.11,395
86,10.0.0.12,0
86,10.0.0.11,399
87,10.0.0.12,0
87,10.0.0.11,404
88,10.0.0.12,0
89,10.0.0.12,0
90,10.0.0.12,73
