,Sample #,RT Clock,Max timestamp delta in microseconds,10.0.0.11
0,1,10:34:09,0,5
1,2,10:34:11,0,2000005
2,3,10:34:13,0,4000005
3,4,10:34:15,0,6000005
4,5,10:34:17,0,8000005
5,6,10:34:19,0,10000005
6,7,10:34:21,0,12000005
7,8,10:34:23,0,14000005
8,9,10:34:25,0,16000005
9,10,10:34:27,0,18000005
10,11,10:34:29,0,20000005
11,12,10:34:31,0,22000005
12,13,10:34:33,0,24000005
13,14,10:34:35,0,26000005
14,15,10:34:37,0,28000005
15,16,10:34:39,0,30000005
16,17,10:34:41,0,32000005
17,18,10:34:43,0,34000005
18,19,10:34:45,0,36000005
