,Sample #,RT Clock,Max timestamp delta in microseconds,10.0.0.11,10.0.0.12
0,1,14:26:12,0,,22054413
1,2,14:26:12,265473,23319916,24054443
2,3,14:26:14,265472,25319946,26054474
3,4,14:26:16,265473,27319977,28054504
4,5,14:26:18,265472,29320007,30054535
5,6,14:26:20,265503,31320038,32054535
6,7,14:26:22,265503,33320068,34054565
7,8,14:26:24,265503,35320099,36054596
8,9,14:26:26,0,36055294,38054626
9,10,14:26:28,0,38055325,40054657
10,11,14:26:30,0,40055355,42054688
11,12,14:26:32,0,42055386,44054718
12,13,14:26:34,0,44055416,46054718
13,14,14:26:36,0,46055447,48054749
14,15,14:26:38,0,48055478,50054779
15,16,14:26:40,0,50055508,52054810
16,17,14:26:42,0,52055539,54054840
17,18,14:26:44,0,54055569,56054871
18,19,14:26:46,0,56055600,58054901
19,20,14:26:48,0,58055630,60054901
20,21,14:26:50,0,60055661,62054932
21,22,14:26:52,0,62055691,64054962
22,23,14:26:54,0,64055722,66054993
23,24,14:26:56,0,66055752,68055023
24,25,14:26:58,0,68055783,70055054
25,26,14:27:00,0,70055813,72055084
26,27,14:27:02,0,72055844,74055084
27,28,14:27:04,0,74055874,
